Number,Treatment,block,Yield
1,VarA,1,3623
6,VarB,1,3780
11,VarC,1,3644
16,VarD,1,3794
21,VarE,1,3906
26,TifGuard,1,3766
2,VarA,2,3656
7,VarB,2,3666
12,VarC,2,3463
17,VarD,2,3712
22,VarE,2,3722
27,TifGuard,2,3617
3,VarA,3,3637
8,VarB,3,3665
13,VarC,3,3536
18,VarD,3,3681
23,VarE,3,3805
28,TifGuard,3,3587
4,VarA,4,3541
9,VarB,4,3614
14,VarC,4,3651
19,VarD,4,3814
24,VarE,4,3631
29,TifGuard,4,3674
5,VarA,5,3539
10,VarB,5,3477
15,VarC,5,3583
20,VarD,5,3685
25,VarE,5,3760
30,TifGuard,5,3628
